學生,碩/博士,畢業系所,年份月份,研究題目,連結
簡微,碩士,地理環境資源學系,2024,估計局部空間自相關呈現傳染病擴散特徵的空間結構：比較2015與2023年台南登革熱疫情擴散,https://tdr.lib.ntu.edu.tw/handle/123456789/94823
李蕙均,碩士,地理環境資源學系,2024,在多人線上遊戲中建立玩家模擬模型——討論接觸網絡對疫苗決策的影響,https://tdr.lib.ntu.edu.tw/handle/123456789/92819
林有祥,碩士,地理環境資源學系,2024,早期觀測資料與歷史文獻重建資料之時空比對分析：以19世紀中葉後中國不同氣候分區的降水資料為例,https://tdr.lib.ntu.edu.tw/handle/123456789/91577
林穎沛,碩士,地理環境資源學系,2024,評估 COVID-19 疫情對於都市交通轉運功能的衝擊：多運具移動網絡模型的階層分群分析,https://tdr.lib.ntu.edu.tw/handle/123456789/94623
徐品翰,碩士,地理環境資源學系,2023,建立共識自組織對映於預測登革熱擴散的時空範圍,https://tdr.lib.ntu.edu.tw/handle/123456789/87208
張旻蒨,碩士,地理環境資源學系,2023,探索人口流動對於中介新冠肺炎的民眾風險認知造成疫情動態影響的角色：考慮分布延遲的結構方程模式,https://tdr.lib.ntu.edu.tw/handle/123456789/88799
楊宇翔,碩士,地理環境資源學系,2023,日本在COVID-19疫情期間自殺率增加的空間群聚特徵,https://tdr.lib.ntu.edu.tw/handle/123456789/87934
夏天恩,碩士,地理環境資源學系,2023,模擬捷運轉乘站候車月台的人際接觸時空分布：利用智慧卡資料與代理人模式,https://www.airitilibrary.com/Article/Detail/U0001-1115230803178021
倪煒傑,碩士,地理環境資源學系,2023,足球比賽的空間分析：使用代理人模型探索不同戰略情境下足球隊的進攻模式,https://tdr.lib.ntu.edu.tw/handle/123456789/88634
陳立恆,碩士,地理環境資源學系／統計碩士學位學程,2023,最小化空間異質性損失之分群演算法,https://tdr.lib.ntu.edu.tw/handle/123456789/83249
郭飛鷹,博士,地理環境資源學研究所,2021,理解傳染病的空間擴散：地理計算的方法,https://www.airitilibrary.com/Article/Detail/U0001-0807202123365900
杜承軒,碩士,地理環境資源學研究所,2021,利用國際旅客量與境外移入病例推估疾病來源國的疫情趨勢：以東南亞登革熱疫情為例,https://www.airitilibrary.com/Article/Detail/U0001-0908202111360100
江偉銘,碩士,地理環境資源學研究所,2021,利用東南亞的網路聲量預測臺灣登革熱的境外移入風險：深度學習模型,https://www.airitilibrary.com/Article/Detail/U0001-2308202115172100
黃美惠,碩士,地理環境資源學研究所,2020,利用眼動軌跡評估臺灣高中生在等高線地圖判讀的學習成效,https://www.airitilibrary.com/Article/Detail/U0001-1202202022075300
劉怡慧,碩士,地理環境資源學研究所,2019,利用多層次成長模式探討不同建成環境下的都市交通壅塞過程,https://www.airitilibrary.com/Article/Detail/U0001-1808201923304400
王崧阡,碩士,地理環境資源學研究所,2019,應用推特資料探討使用者差異的都市公園服務範圍：以東京都立公園為例,https://www.airitilibrary.com/Article/Detail/U0001-1808201918053100
簡妙蓉,碩士,地理環境資源學研究所,2019,建立全球尺度的蚊媒傳染病空間傳播風險快速評估平台,https://www.airitilibrary.com/Article/Detail/U0001-1608201900493400
黃夢萍,碩士,共同教育中心／統計碩士學位學程,2019,考慮人口移動相似性的分群：以東京都的商圈分析為例,https://www.airitilibrary.com/Article/Detail/U0001-1908201907463100
廖晧宇,碩士,地理環境資源學研究所,2019,應用合成孔徑雷達影像監測都市水體分佈：評估都市地表形貌對於雷達雙反射特性之影響,https://www.airitilibrary.com/Article/Detail/U0001-2603201908594100
陳威全,博士,地理環境資源學研究所,2018,多點群聚現象的跨尺度特性,https://ndltd.ncl.edu.tw/r/58psp4
馮維義,碩士,地理環境資源學研究所,2017,空間微觀模擬方法於微資料的人口特徵估計與空間結構的誤差分析,https://tdr.lib.ntu.edu.tw/handle/123456789/59673
陳慈忻,碩士,地理環境資源學研究所,2016,登革熱疫情特徵的時空脆弱度因素：多層次模型的分析,https://www.airitilibrary.com/Article/Detail/U0001-1908201615442500
許景舜,碩士,地理環境資源學研究所,2016,建立傳染病傳播的個人暴露風險評估架構,https://tdr.lib.ntu.edu.tw/handle/123456789/51391
王建閔,碩士,地理環境資源學研究所,2016,建築物室內的緊急醫療資源空間配置模型：以台大共同教室大樓佈署自動體外心臟電擊去顫器為例,https://tdr.lib.ntu.edu.tw/handle/123456789/51363
曾意翔,碩士,地理環境資源學研究所,2014,應用最佳覓食理論分析連續竊盜犯的空間移動行為,https://www.airitilibrary.com/Article/Detail/U0001-1808201409262400
賴佩均,碩士,地理環境資源學研究所,2014,分析都市道路網絡的連結關係於評估交通衝擊地區,https://www.airitilibrary.com/Article/Detail/U0001-1808201411145600
